Age,Age_cls,Fare,fgrp,famsize,Ticket,ttl_1,ttl_2,ttl_3,ttl_4,Pclass_0,Pclass_1,Pclass_2,Embarked_0,Embarked_1,Embarked_2
22.000000000000004,2,7.249999999999999,38,1,0,1,0,0,0,0,0,1,0,1,0
37.99999999999999,0,35.64165,174,1,1,0,1,0,0,1,0,0,1,0,0
26.000000000000004,2,7.925000000000002,682,0,0,0,0,1,0,0,0,1,0,1,0
34.99999999999999,0,26.550000000000004,174,1,1,0,1,0,0,1,0,0,0,1,0
34.99999999999999,0,8.050000000000002,682,0,0,1,0,0,0,0,0,1,0,1,0
54.00000000000001,0,25.931250000000002,108,0,1,1,0,0,0,1,0,0,0,1,0
2.0,1,4.215,288,4,1,0,0,0,1,0,0,1,0,1,0
27.0,2,3.7111,288,2,1,0,1,0,0,0,0,1,0,1,0
13.999999999999996,2,15.035400000000001,174,1,1,0,1,0,0,0,1,0,1,0,0
4.0,1,5.566666666666666,288,2,1,0,0,1,0,0,0,1,0,1,0
57.999999999999986,0,26.550000000000004,682,0,0,0,0,1,0,1,0,0,0,1,0
19.999999999999996,2,8.050000000000002,682,0,0,1,0,0,0,0,0,1,0,1,0
38.99999999999999,0,31.275,288,6,1,1,0,0,0,0,0,1,0,1,0
13.999999999999996,2,7.854199999999999,682,0,0,0,0,1,0,0,0,1,0,1,0
55.000000000000014,0,15.999999999999998,682,0,0,0,1,0,0,0,1,0,0,1,0
2.0,1,4.854166666666667,288,5,1,0,0,0,1,0,0,1,0,0,1
31.0,2,9.000000000000002,174,1,1,0,1,0,0,0,0,1,0,1,0
34.99999999999999,0,13.0,108,0,1,1,0,0,0,0,1,0,0,1,0
34.00000000000001,0,13.0,682,0,0,1,0,0,0,0,1,0,0,1,0
15.0,2,8.0292,682,0,0,0,0,1,0,0,0,1,0,0,1
27.999999999999996,2,35.5,682,0,0,1,0,0,0,1,0,0,0,1,0
7.999999999999998,1,4.215,288,4,1,0,0,1,0,0,0,1,0,1,0
37.99999999999999,0,31.387499999999996,288,6,1,0,1,0,0,0,0,1,0,1,0
18.999999999999996,2,43.83333333333334,288,5,1,1,0,0,0,1,0,0,0,1,0
40.0,0,27.720799999999997,682,0,0,1,0,0,0,1,0,0,1,0,0
65.99999999999997,0,10.5,682,0,0,1,0,0,0,0,1,0,0,1,0
27.999999999999996,2,41.0854,174,1,1,1,0,0,0,1,0,0,1,0,0
42.00000000000001,0,26.000000000000004,174,1,1,1,0,0,0,1,0,0,0,1,0
21.0,2,8.050000000000002,682,0,0,1,0,0,0,0,0,1,0,1,0
17.999999999999996,2,9.000000000000002,174,2,1,0,0,1,0,0,0,1,0,1,0
13.999999999999996,2,5.62085,174,1,1,0,0,1,0,0,0,1,1,0,0
40.0,0,9.475,38,1,0,0,1,0,0,0,0,1,0,1,0
27.0,2,10.5,174,1,1,0,1,0,0,0,1,0,0,1,0
3.0000000000000004,1,10.394799999999998,288,3,1,0,0,1,0,0,1,0,1,0,0
18.999999999999996,2,7.879200000000001,682,0,0,0,0,1,0,0,0,1,0,0,1
17.999999999999996,2,8.9,174,1,1,0,1,0,0,0,0,1,0,1,0
6.999999999999999,1,5.669642857142857,288,5,1,0,0,0,1,0,0,1,0,1,0
21.0,2,7.800000000000002,682,0,0,1,0,0,0,0,0,1,0,1,0
48.99999999999999,0,25.576400000000003,174,1,1,0,1,0,0,1,0,0,1,0,0
29.000000000000004,2,13.0,174,1,1,0,1,0,0,0,1,0,0,1,0
64.99999999999999,0,30.989600000000006,288,1,1,1,0,0,0,1,0,0,1,0,0
21.0,2,10.5,682,0,0,0,0,1,0,0,1,0,0,1,0
28.5,2,7.2292000000000005,682,0,0,1,0,0,0,0,0,1,1,0,0
4.999999999999999,1,6.937500000000001,288,3,1,0,0,1,0,0,1,0,0,1,0
11.000000000000002,1,5.8625,288,7,1,0,0,0,1,0,0,1,0,1,0
22.000000000000004,2,7.2292000000000005,682,0,0,1,0,0,0,0,0,1,1,0,0
37.99999999999999,0,40.0,108,0,1,0,0,1,0,1,0,0,1,0,0
